day,fit,se.fit,f1
1,12.97804931,6.355599479,0.129780493
2,13.55138775,6.351622183,0.135513877
3,14.14634182,6.348228949,0.141463418
4,14.76272385,6.345133543,0.147627239
5,15.40034619,6.342043536,0.154003462
6,16.05902115,6.338663016,0.160590212
7,16.73856108,6.334695308,0.167385611
8,17.43877831,6.329845722,0.174387783
9,18.15948516,6.323824311,0.181594852
10,18.90049397,6.316348669,0.18900494
11,19.66161706,6.307146782,0.196616171
12,20.44266679,6.29595995,0.204426668
13,21.24345546,6.282545837,0.212434555
14,22.06379542,6.266681663,0.220637954
15,22.903499,6.248167607,0.22903499
16,23.76229385,6.226881492,0.237622938
17,24.63956888,6.202935589,0.246395689
18,25.53462835,6.176524029,0.255346284
19,26.44677649,6.147869182,0.264467765
20,27.37531753,6.117218924,0.273753175
21,28.31955572,6.084844046,0.283195557
22,29.27879531,6.05103574,0.292787953
23,30.25234052,6.016103129,0.302523405
24,31.2394956,5.980370783,0.312394956
25,32.23956478,5.94417619,0.322395648
26,33.25185232,5.907867139,0.332518523
27,34.27566244,5.87179898,0.342756624
28,35.31029939,5.836331743,0.353102994
29,36.35506741,5.801827083,0.363550674
30,37.40927074,5.768645066,0.374092707
31,38.47221361,5.737140762,0.384722136
32,39.54320027,5.707660699,0.395432003
33,40.62153496,5.680539174,0.40621535
34,41.70652192,5.656094482,0.417065219
35,42.79746538,5.634625113,0.427974654
36,43.89366958,5.616405989,0.438936696
37,44.99443878,5.601684818,0.449944388
38,46.09907719,5.590678657,0.460990772
39,47.20688908,5.583570786,0.472068891
40,48.31717867,5.580507958,0.483171787
41,49.4292502,5.581598144,0.494292502
42,50.54240792,5.586908815,0.505424079
43,51.65595607,5.596465832,0.516559561
44,52.76919888,5.61025298,0.527691989
45,53.8814406,5.628212136,0.538814406
46,54.99198546,5.650244084,0.549919855
47,56.1001377,5.676209917,0.561001377
48,57.20520157,5.705932975,0.572052016
49,58.3064813,5.739201251,0.583064813
50,59.40328114,5.775770161,0.594032811
51,60.49490532,5.815365611,0.604949053
52,61.58065808,5.857687233,0.615806581
53,62.65984366,5.902411743,0.626598437
54,63.73176631,5.949196293,0.637317663
55,64.79573027,5.997681789,0.647957303
56,65.85103976,6.047496085,0.658510398
57,66.89699904,6.09825703,0.66896999
58,67.93291234,6.149575314,0.679329123
59,68.9580839,6.201057126,0.689580839
60,69.97181796,6.252306577,0.69971818
61,70.97341877,6.302927927,0.709734188
62,71.96219056,6.352527602,0.719621906
63,72.93743757,6.400716023,0.729374376
64,73.89846404,6.447109274,0.73898464
65,74.84457421,6.491330632,0.748445742
66,75.77507232,6.533011982,0.757750723
67,76.68926261,6.571795156,0.766892626
68,77.58644933,6.607333215,0.775864493
69,78.4659367,6.639291725,0.784659367
70,79.32702898,6.667350045,0.79327029
71,80.16903039,6.69120267,0.801690304
72,80.99124518,6.710560669,0.809912452
73,81.7929776,6.725153256,0.817929776
74,82.57353187,6.734729535,0.825735319
75,83.33221224,6.739060476,0.833322122
76,84.06832376,6.737941479,0.840683238
77,84.78144357,6.731301055,0.847814436
78,85.47181584,6.719355463,0.854718158
79,86.1397851,6.702383948,0.861397851
80,86.78569586,6.680687246,0.867856959
81,87.40989263,6.654585725,0.874098926
82,88.01271992,6.624417706,0.880127199
83,88.59452224,6.590537927,0.885945222
84,89.15564411,6.553316095,0.891556441
85,89.69643005,6.513135478,0.8969643
86,90.21722455,6.470391499,0.902172246
87,90.71837214,6.425490293,0.907183721
88,91.20021734,6.378847179,0.912002173
89,91.66310464,6.330885015,0.916631046
90,92.10737857,6.282032399,0.921073786
91,92.53338363,6.232721686,0.925333836
92,92.94146435,6.183386783,0.929414644
93,93.33196523,6.134460711,0.933319652
94,93.70523079,6.086372904,0.937052308
95,94.06160553,6.039546256,0.940616055
96,94.40143398,5.994393899,0.94401434
